Time	Channel A
(s)	(V)

2.11467089	0.05622539
2.11600423	0.05622539
2.11733756	0.05622539
2.11867090	0.05622539
2.12000423	0.05622539
2.12133757	0.05622539
2.12267091	0.05622539
2.12400424	0.05622539
2.12533758	0.05622539
2.12667091	0.05622539
2.12800425	0.05622539
2.12933759	0.05622539
2.13067092	0.05622539
2.13200426	0.05622539
2.13333759	0.05622539
2.13467093	0.07492618
2.13600427	0.05622539
2.13733760	0.05622539
2.13867094	0.07492618
2.14000427	0.05622539
2.14133761	0.05622539
2.14267095	0.05622539
2.14400428	0.05622539
2.14533762	0.07492618
2.14667095	0.05622539
2.14800429	0.05622539
2.14933763	0.05622539
2.15067096	0.05622539
2.15200430	0.05622539
2.15333763	0.07492618
2.15467097	0.05622539
2.15600431	0.05622539
2.15733764	0.07492618
2.15867098	0.05622539
2.16000431	0.05622539
2.16133765	0.05622539
2.16267099	0.05622539
2.16400432	0.05622539
2.16533766	0.05622539
2.16667099	0.11245080
2.16800433	0.05622539
2.16933767	0.05622539
2.17067100	0.05622539
2.17200434	0.05622539
2.17333767	0.05622539
2.17467101	0.05622539
2.17600435	0.05622539
2.17733768	0.05622539
2.17867102	0.05622539
2.18000435	0.05622539
2.18133769	0.05622539
2.18267103	0.05622539
2.18400436	0.05622539
2.18533770	0.05622539
2.18667103	0.05622539
2.18800437	0.07492618
2.18933771	0.05622539
2.19067104	0.07492618
2.19200438	0.05622539
2.19333771	0.05622539
2.19467105	0.05622539
2.19600439	0.05622539
2.19733772	0.05622539
2.19867106	0.05622539
2.20000439	0.05622539
2.20133773	0.05622539
2.20267107	0.05622539
2.20400440	0.05622539
2.20533774	0.05622539
2.20667107	0.05622539
2.20800441	0.05622539
2.20933775	0.05622539
2.21067108	0.05622539
2.21200442	0.05622539
2.21333775	0.05622539
2.21467109	0.05622539
2.21600443	0.05622539
2.21733776	0.05622539
2.21867110	0.05622539
2.22000443	0.05622539
2.22133777	0.05622539
2.22267111	0.05622539
2.22400444	0.05622539
2.22533778	0.05622539
2.22667111	0.05622539
2.22800445	0.05622539
2.22933779	0.05622539
2.23067112	0.05622539
2.23200446	0.05622539
2.23333779	0.05622539
2.23467113	0.05622539
2.23600447	0.05622539
2.23733780	0.05622539
2.23867114	0.05622539
2.24000447	0.05622539
2.24133781	0.05622539
2.24267115	0.05622539
2.24400448	0.05622539
2.24533782	0.05622539
2.24667115	0.05622539
2.24800449	0.05622539
2.24933783	0.05622539
2.25067116	0.05622539
2.25200450	0.05622539
2.25333783	0.05622539
2.25467117	0.07492618
2.25600451	0.05622539
2.25733784	0.05622539
2.25867118	0.05622539
2.26000451	0.05622539
2.26133785	0.05622539
2.26267119	0.05622539
2.26400452	0.05622539
2.26533786	0.05622539
2.26667119	0.05622539
2.26800453	0.05622539
2.26933787	0.05622539
2.27067120	0.05622539
2.27200454	0.05622539
2.27333787	0.05622539
2.27467121	0.05622539
2.27600455	0.05622539
2.27733788	0.05622539
2.27867122	0.05622539
2.28000455	0.05622539
2.28133789	0.05622539
2.28267123	0.05622539
2.28400456	0.07492618
2.28533790	0.05622539
2.28667123	0.05622539
2.28800457	0.05622539
2.28933791	0.05622539
2.29067124	0.05622539
2.29200458	0.07492618
2.29333791	0.05622539
2.29467125	0.05622539
